AdjustedTime,DeviceTimeStamp,SystemTimeStamp,Pose_Position,Pose_Rotation,Pose_Valid,LeftGazeDirection,LeftGazeDirectionValid,LeftGazeOrigin,LeftGazeOriginValid,LeftPupilDiameter,LeftPupilDiameterValid,LeftGazeRayWorldOrigin,LeftGazeRayWorldDirection,LeftGazeRayWorldValid,RightGazeDirection,RightGazeDirectionValid,RightGazeOrigin,RightGazeOriginValid,RightPupilDiameter,RightPupilDiameterValid,RightGazeRayWorldOrigin,RightGazeRayWorldDirection,RightGazeRayWorldValid,CombinedGazeRayWorldOrigin,CombinedGazeRayWorldDirection,CombinedGazeRayWorldValid,OriginalLeftGazeDirection,OriginalLeftGazeDirectionValid,OriginalLeftGazeOriginPositionInHMD,OriginalLeftGazeOriginPositionInHMDValid,OriginalLeftPupilDiameter,OriginalLeftPupilDiameterValid,OriginalLeftPupilPositionInTrackingArea,OriginalLeftPupilPositionInTrackingAreaValid,OriginalRightGazeDirection,OriginalRightGazeDirectionValid,OriginalRightGazeOriginPositionInHMD,OriginalRightGazeOriginPositionInHMDValid,OriginalRightPupilDiameter,OriginalRightPupilDiameterValid,OriginalRightPupilPositionInTrackingArea,OriginalRightPupilPositionInTrackingAreaValid
0.0,312143022,1057521168764,"(-0.46132390, 3.10259800, -11.83205000)","(0.02557792, 0.17614770, -0.00834466, -0.98399600)",True,"(NaN, NaN, NaN)",False,"(NaN, NaN, NaN)",False,NaN,False,"(NaN, NaN, NaN)","(0.00000000, 0.00000000, 0.00000000)",False,"(-0.17590330, 0.28056340, 0.94357300)",True,"(0.02849771, -0.00022903, -0.03145880)",True,"0,00336421",True,"(-0.42367810, 3.10160300, -11.85163000)","(-0.49454450, 0.32040820, 0.80793830)",True,"(NaN, NaN, NaN)","(0.00000000, 0.00000000, 0.00000000)",False,"(NaN, NaN, NaN)",Invalid,"(NaN, NaN, NaN)",Invalid,NaN,Invalid,"(NaN, NaN)",Invalid,"(0,17590330, 0,28056340, 0,94357300)",Valid,"(-28,49771000, -0,22903440, -31,45880000)",Valid,"3,36421200",Valid,"(0,38002600, 0,53653370)",Valid
0.008331,312151353,1057521177095,"(-0.46149350, 3.10254000, -11.83204000)","(0.02533371, 0.17564950, -0.00850408, -0.98409000)",True,"(-0.05313110, 0.30839540, 0.94976810)",True,"(-0.03071759, 0.00081609, -0.03252035)",True,"0,00319360",True,"(-0.47906090, 3.10104300, -11.87316000)","(-0.38101740, 0.35111380, 0.85530390)",True,"(-0.18086240, 0.28500370, 0.94129940)",True,"(0.02850264, -0.00026471, -0.03143626)",True,"0,00337351",True,"(-0.42387030, 3.10153300, -11.85164000)","(-0.49773620, 0.32408490, 0.80450460)",True,"(-0.45146560, 3.10128900, -11.86240000)","(-0.44030980, 0.33831630, 0.83166660)",True,"(0,05313110, 0,30839540, 0,94976810)",Valid,"(30,71759000, 0,81608580, -32,52036000)",Valid,"3,19360400",Valid,"(0,54423420, 0,49894690)",Valid,"(0,18086240, 0,28500370, 0,94129940)",Valid,"(-28,50264000, -0,26470950, -31,43626000)",Valid,"3,37350500",Valid,"(0,37894250, 0,53688690)",Valid
0.016663,312159685,1057521185427,"(-0.46116800, 3.10251500, -11.83196000)","(0.02522434, 0.17521640, -0.00863876, -0.98416890)",True,"(-0.04920959, 0.31173710, 0.94888310)",True,"(-0.03073000, 0.00080081, -0.03252228)",True,"0,00311208",True,"(-0.47878240, 3.10100400, -11.87307000)","(-0.37639860, 0.35426500, 0.85604930)",True,"(-0.18159480, 0.28871150, 0.94001770)",True,"(0.02849388, -0.00030106, -0.03141713)",True,"0,00330942",True,"(-0.42357640, 3.10148600, -11.85158000)","(-0.49739130, 0.32744010, 0.80335850)",True,"(-0.45117940, 3.10124500, -11.86233000)","(-0.43788850, 0.34162790, 0.83159130)",True,"(0,04920959, 0,31173710, 0,94888310)",Valid,"(30,73000000, 0,80081180, -32,52228000)",Valid,"3,11207600",Valid,"(0,54446760, 0,49915110)",Valid,"(0,18159480, 0,28871150, 0,94001770)",Valid,"(-28,49388000, -0,30105590, -31,41713000)",Valid,"3,30941800",Valid,"(0,37841650, 0,53724770)",Valid
0.024994,312168016,1057521193758,"(-0.46084250, 3.10249000, -11.83189000)","(0.02511499, 0.17478320, -0.00877342, -0.98424750)",True,"(-0.06007385, 0.31626890, 0.94676210)",True,"(-0.03073335, 0.00078502, -0.03253113)",True,"0,00306206",True,"(-0.47849310, 3.10096500, -11.87299000)","(-0.38524100, 0.35816060, 0.85047660)",True,"(-0.18385310, 0.29460140, 0.93775940)",True,"(0.02848639, -0.00033014, -0.03140677)",True,"0,00337955",True,"(-0.42327850, 3.10144600, -11.85153000)","(-0.49815570, 0.33288330, 0.80064330)",True,"(-0.45088580, 3.10120600, -11.86226000)","(-0.44257720, 0.34620960, 0.82720280)",True,"(0,06007385, 0,31626890, 0,94676210)",Valid,"(30,73335000, 0,78501890, -32,53113000)",Valid,"3,06205700",Valid,"(0,54249220, 0,49894740)",Valid,"(0,18385310, 0,29460140, 0,93775940)",Valid,"(-28,48639000, -0,33013920, -31,40677000)",Valid,"3,37954700",Valid,"(0,37783810, 0,53722880)",Valid
0.033326,312176348,1057521202090,"(-0.46051700, 3.10246500, -11.83181000)","(0.02500561, 0.17435000, -0.00890810, -0.98432590)",True,"(-0.06103516, 0.31372070, 0.94754030)",True,"(-0.03073976, 0.00075304, -0.03251471)",True,"0,00314526",True,"(-0.47821500, 3.10091000, -11.87288000)","(-0.38573570, 0.35538150, 0.85141770)",True,"(-0.18495180, 0.30131530, 0.93540950)",True,"(0.02847574, -0.00035121, -0.03140682)",True,"0,00331029",True,"(-0.42298000, 3.10141300, -11.85149000)","(-0.49781920, 0.33917840, 0.79820670)",True,"(-0.45059750, 3.10116200, -11.86218000)","(-0.44264470, 0.34796150, 0.82643120)",True,"(0,06103516, 0,31372070, 0,94754030)",Valid,"(30,73976000, 0,75303650, -32,51471000)",Valid,"3,14526400",Valid,"(0,54201070, 0,50047210)",Valid,"(0,18495180, 0,30131530, 0,93540950)",Valid,"(-28,47574000, -0,35121150, -31,40681000)",Valid,"3,31028700",Valid,"(0,37716890, 0,53672610)",Valid
0.041657,312184679,1057521210421,"(-0.46019150, 3.10244000, -11.83173000)","(0.02489624, 0.17391680, -0.00904276, -0.98440410)",True,"(-0.05488586, 0.31213380, 0.94844060)",True,"(-0.03075348, 0.00072403, -0.03250072)",True,"0,00316536",True,"(-0.47794310, 3.10085800, -11.87278000)","(-0.37959590, 0.35375250, 0.85484860)",True,"(-0.18849180, 0.29711910, 0.93603520)",True,"(0.02846072, -0.00038121, -0.03137657)",True,"0,00329396",True,"(-0.42269600, 3.10137300, -11.85142000)","(-0.50071050, 0.33465550, 0.79830740)",True,"(-0.45031950, 3.10111600, -11.86210000)","(-0.44115960, 0.34499100, 0.82846810)",True,"(0,05488586, 0,31213380, 0,94844060)",Valid,"(30,75348000, 0,72402950, -32,50072000)",Valid,"3,16535900",Valid,"(0,54258510, 0,50163190)",Valid,"(0,18849180, 0,29711910, 0,93603520)",Valid,"(-28,46072000, -0,38121030, -31,37657000)",Valid,"3,29396100",Valid,"(0,37598040, 0,53818180)",Valid
0.049989,312193011,1057521218753,"(-0.45986600, 3.10241500, -11.83165000)","(0.02478685, 0.17348340, -0.00917744, -0.98448200)",True,"(-0.06291199, 0.31394960, 0.94734190)",True,"(-0.03077411, 0.00069998, -0.03250108)",True,"0,00323407",True,"(-0.47767260, 3.10081000, -11.87269000)","(-0.38611820, 0.35505460, 0.85138060)",True,"(-0.18927000, 0.29850770, 0.93544010)",True,"(0.02843488, -0.00039709, -0.03136623)",True,"0,00333647",True,"(-0.42241530, 3.10134600, -11.85137000)","(-0.50063340, 0.33572130, 0.79790810)",True,"(-0.45004400, 3.10107800, -11.86203000)","(-0.44428460, 0.34609590, 0.82633460)",True,"(0,06291199, 0,31394960, 0,94734190)",Valid,"(30,77411000, 0,69998170, -32,50108000)",Valid,"3,23407000",Valid,"(0,54039740, 0,50229530)",Valid,"(0,18927000, 0,29850770, 0,93544010)",Valid,"(-28,43488000, -0,39709470, -31,36623000)",Valid,"3,33647200",Valid,"(0,37499820, 0,53844130)",Valid
0.05832,312201342,1057521227084,"(-0.45954060, 3.10239000, -11.83157000)","(0.02467747, 0.17305010, -0.00931209, -0.98455980)",True,"(-0.06101990, 0.31460570, 0.94725040)",True,"(-0.03079552, 0.00067957, -0.03249916)",True,"0,00316325",True,"(-0.47740380, 3.10076600, -11.87260000)","(-0.38365670, 0.35550760, 0.85230390)",True,"(-0.17027280, 0.29960630, 0.93873600)",True,"(0.02830333, -0.00042006, -0.03135539)",True,"0,00328244",True,"(-0.42223420, 3.10130800, -11.85136000)","(-0.48329620, 0.33720640, 0.80790880)",True,"(-0.44981900, 3.10103700, -11.86198000)","(-0.43414080, 0.34688790, 0.83137880)",True,"(0,06101990, 0,31460570, 0,94725040)",Valid,"(30,79552000, 0,67956540, -32,49916000)",Valid,"3,16325400",Valid,"(0,54004620, 0,50273370)",Valid,"(0,17027280, 0,29960630, 0,93873600)",Valid,"(-28,30333000, -0,42005920, -31,35539000)",Valid,"3,28244000",Valid,"(0,37384100, 0,53878740)",Valid
0.066652,312209674,1057521235416,"(-0.45921510, 3.10236400, -11.83149000)","(0.02456807, 0.17261670, -0.00944676, -0.98463730)",True,"(-0.06515503, 0.31076050, 0.94824220)",True,"(-0.03081309, 0.00065852, -0.03248782)",True,"0,00322006",True,"(-0.47713440, 3.10072200, -11.87250000)","(-0.38718560, 0.35135320, 0.85243080)",True,"(-0.11965940, 0.07138062, 0.99023440)",True,"(0.02798471, 0.00062466, -0.03101233)",True,"0,00322745",True,"(-0.42235300, 3.10234700, -11.85115000)","(-0.45030440, 0.11272130, 0.88573120)",True,"(-0.44974370, 3.10153400, -11.86183000)","(-0.42203060, 0.23385790, 0.87589990)",True,"(0,06515503, 0,31076050, 0,94824220)",Valid,"(30,81310000, 0,65852360, -32,48782000)",Valid,"3,22006200",Valid,"(0,53864380, 0,50409530)",Valid,"(0,11965940, 0,07138062, 0,99023440)",Valid,"(-27,98471000, 0,62466430, -31,01233000)",Valid,"3,22744800",Valid,"(0,37230610, 0,53892800)",Valid
0.074983,312218005,1057521243747,"(-0.45888960, 3.10233900, -11.83142000)","(0.02445868, 0.17218340, -0.00958141, -0.98471460)",True,"(-0.06256104, 0.30702210, 0.94963070)",True,"(-0.03082365, 0.00064433, -0.03247612)",True,"0,00323935",True,"(-0.47685870, 3.10068400, -11.87240000)","(-0.38452000, 0.34750530, 0.85521020)",True,"(-0.18740840, 0.29797360, 0.93598940)",True,"(0.02834769, -0.00046840, -0.03131432)",True,"0,00334451",True,"(-0.42158970, 3.10124000, -11.85121000)","(-0.49721360, 0.33444780, 0.80057690)",True,"(-0.44922420, 3.10096200, -11.86180000)","(-0.44174330, 0.34165430, 0.82953910)",True,"(0,06256104, 0,30702210, 0,94963070)",Valid,"(30,82365000, 0,64433290, -32,47612000)",Valid,"3,23934900",Valid,"(0,53869990, 0,50513340)",Valid,"(0,18740840, 0,29797360, 0,93598940)",Valid,"(-28,34769000, -0,46839900, -31,31432000)",Valid,"3,34451300",Valid,"(0,37233410, 0,54048120)",Valid
